"","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1901",1901,28.7,17.4,47.3,55,47.8,75.2,51.9,46.5,28.1,40.3,69,59.3
"1902",1902,49.8,10.2,58.9,29.6,67.8,35.5,58.90001,79.7,41.9,32.3,6.200001,38
"1903",1903,37.5,41.1,26.4,58.9,29.9,43,59.8,80.2,54.90001,98.8,48.7,17
"1904",1904,31.4,50.9,23.4,50.5,41.8,43.7,27,36.5,26.7,48.5,66.5,47.6
"1905",1905,31,26.4,44.7,49.8,25.9,49.5,84.6,112.3,70.8,69.8,42.4,20.4
"1906",1906,66.1,28.2,43.5,24.5,47.2,54.3,42.3,70.1,45.1,28.9,66.1,32
"1907",1907,42.1,27.6,26.4,24.4,46.8,64.8,70.6,70.8,23.3,27,26.4,66.9
"1908",1908,32.9,43.8,37,44.5,80.7,42.2,65.3,62.5,36.8,8.999996,34.6,20
"1909",1909,27,23.5,42.3,46.9,33.7,59.40001,76.8,40.1,58.1,36.4,63,72.7
"1910",1910,46,59.2,14.5,45,45.6,61.3,86.70001,91.7,57,13.6,65.6,42.6
"1911",1911,31.2,59.7,41.1,30.1,22.2,57.40001,43.2,30.9,23,53.4,60.7,49.8
"1912",1912,28.6,39.1,42.8,37.8,40.1,76.8,45,103.3,41,45.1,55.7,76.40001
"1913",1913,31.2,23.8,45.4,27.5,23.6,34.3,50.8,57.5,37,34.8,56.5,78.9
"1914",1914,29,22.3,83.8,41.2,47.7,37.2,101.5,35.7,47.1,48.4,41.9,54.5
"1915",1915,64.2,21,53.7,26.2,31.6,14.3,74.40001,60.9,49.2,22,48.5,90.2
"1916",1916,88,33.3,25,35.2,44.6,79.8,69.3,77.7,41,54.1,48.7,74.8
"1917",1917,53,8.799999,41.6,37.8,12.2,34.7,55.8,61.5,42.9,81.5,60.5,33.4
"1918",1918,47.7,37.6,14.3,43.6,15.9,50.9,80.1,74.7,74.5,31.4,21,71.3
"1919",1919,41.6,24.2,49.3,42.4,12.6,54.3,73.8,51.2,29.4,36.8,49.7,75
"1920",1920,62.7,30.6,19.2,88.8,70.1,42.6,81.3,69.4,43.5,4.299999,11.3,47.2
"1921",1921,86.8,17.9,16.4,29.6,41.5,50.3,35.60001,68.59999,37.6,47,49.2,73.7
"1922",1922,42.6,23,46.1,38.1,25.3,45.7,122.9,74.3,78.3,20.3,40.3,53.5
"1923",1923,39.8,28.6,14.8,41,62,47.8,74.60001,76.2,45.8,63.8,61.7,30.1
"1924",1924,20,22.5,30,73.1,63.5,27.1,88.6,65.6,50.9,22.7,27.8,32.1
"1925",1925,44.5,38.5,35.5,31.2,34.8,38,39,76.1,87.2,47.8,54.9,68.5
"1926",1926,47.4,56.3,39.5,27.3,40.7,76,94.7,52.8,63.5,69.8,66.8,39.9
"1927",1927,60,16,45.6,69.4,40.6,92,120.7,125.6,53.2,59,37.9,29.7
"1928",1928,44.1,53.4,14,27.6,58.3,68.5,52.4,85.39999,22.8,54.8,108.3,29
"1929",1929,23,17.3,14.7,39.8,39.3,66.7,48.2,33.4,25.2,70.1,44.7,63.9
"1930",1930,29.6,13.5,29.2,38.5,71.8,33.1,122.9,63.2,86.6,70.9,75.4,15.8
"1931",1931,68.2,31.7,31.6,52.5,44.2,50.5,137.3,59.2,87.3,33.8,15.3,35.7
"1932",1932,34.2,6.200001,17.3,50.3,57,16.1,84.4,36,86.70001,97.70001,28.3,13.1
"1933",1933,25.1,44.8,38.3,24.3,33.1,67.2,74.40001,45.9,35.6,64.2,29.1,17.8
"1934",1934,42.6,26.5,41.7,25.5,22.3,32.6,45.60001,106.1,58.7,71.4,45.7,35.3
"1935",1935,35.5,55.5,22.5,57.6,38.5,89.2,39.4,44.7,87.2,73.3,35.2,39.6
"1936",1936,51,48.8,26.9,75,44.8,16.2,110.6,35.3,39.7,53.8,42.9,26.4
"1937",1937,35,56.8,68.7,49.4,64.5,51.2,64.4,54.8,57.40001,16.6,38.4,61.10001
"1938",1938,60.8,15,23.2,26,57.1,43.9,62.9,53.5,38.8,57.9,40.7,40.8
"1939",1939,67.7,20.1,51,51,31.5,44.4,95.3,86.09999,37.9,71.6,52.2,46
"1940",1940,27.9,21.1,63,30.7,36.4,27.7,77.5,76.5,52.8,29.6,57.3,36.3
"1941",1941,29.8,39.4,36.8,24.5,34.3,38.3,65.4,85.89999,41.4,86.7,18.6,56.2
"1942",1942,22.4,18.3,26.4,27.6,49.3,52.4,97.1,58.8,62.8,47.4,44.7,40.10001
"1943",1943,61,34.4,16.7,33.6,15,69.5,35.3,112.3,56.7,16.8,51.3,21.3
"1944",1944,57.3,24.9,41.3,26.7,61.5,64.6,49.9,30.9,62.60001,29.9,93.4,36.6
"1945",1945,42.1,58,18.9,48.1,38,78.6,55.8,107.6,30.9,37.4,49.9,63.5
"1946",1946,38.3,60.4,37.3,23.8,38.8,107.5,62.3,52.2,88.5,40.7,42.2,20.2
"1947",1947,17.2,9.600002,72.7,43.4,22.9,38.9,73.4,27,30,17.6,89.40001,52.9
"1948",1948,83.2,42.2,13.6,30.6,45.2,41.5,70.5,95.89999,31.2,35.2,26,18.2
"1949",1949,34.7,33.1,29.4,63.2,69.6,42.4,59.9,34.8,47.1,17.3,61.9,84.1
"1950",1950,46,68,28.1,64.8,45.8,41.8,94.4,74.4,65.5,35.7,66,40.7
"1951",1951,66.9,37.8,72.89999,32.2,57.1,60,49.8,69.4,53.5,2.5,73.5,39.7
"1952",1952,42.5,21.1,22.2,19.1,50.1,70.3,55.3,61.6,58,69.3,60.5,44.9
"1953",1953,46.1,28.2,14.9,21.7,53.2,70.9,53.5,50.5,40,16.2,28.5,27.8
"1954",1954,48.4,22,26.7,32.1,22.3,49.4,120.3,101.1,54.10001,59.8,45.5,83.7
"1955",1955,33,19.4,39.6,29.3,49.1,69,60.3,21.2,67.70001,41.6,13.7,71.8
"1956",1956,59.5,30.6,26.9,41.4,21.2,66.9,45.5,86.09999,37.9,51.9,34.9,50.6
"1957",1957,31.7,45.7,39.3,14.4,39.3,46.3,77,62.5,80.8,37.6,32.8,38.9
"1958",1958,49,69.70001,17.8,41.8,73.4,40.3,88.3,81.8,51.40001,45.2,19.9,37.6
"1959",1959,44.7,4.999998,13.6,59.9,20.5,27.1,64,67.2,4.300003,36.7,23.8,41.3
"1960",1960,56.60001,37.9,13.7,33.7,39.7,55.6,104.1,113,50.5,71.3,72.39999,81
"1961",1961,37.1,45.2,42.3,32.1,54.6,45.1,100.1,86.8,37.8,39.1,32.2,55.7
"1962",1962,55.6,48.3,31.2,38.6,71.5,45.60001,86.90001,87.5,55.1,25,22.3,36.6
"1963",1963,11.7,20.6,29.3,40.4,33.6,40.2,38.3,128,43.7,40.5,93.7,11.4
"1964",1964,16.9,21.8,17.7,45.4,38.8,52.8,39.10001,62.9,51.3,38.7,37.9,46.5
"1965",1965,52.1,23.9,23.5,54.3,66,36.7,120.5,42.5,69.70001,13.6,58.3,86.70001
"1966",1966,47.4,50.1,38,75.6,50.7,72.5,86.70001,74.8,38.9,33.9,49.1,74.5
"1967",1967,58.1,48.4,55.4,38.9,50.8,43.2,62.3,62.4,64.10001,56.3,37.7,71.8
"1968",1968,58.2,18.2,39.4,17.6,64,82.1,76.8,42.2,97.70001,57.1,57.8,20.2
"1969",1969,44,36.4,14.8,50.9,66.3,47.9,31.4,70,12.6,20.8,105.4,18.1
"1970",1970,18.5,36.4,61,101,40.3,31.4,67.8,27.8,57.7,75.7,88.3,38.9
"1971",1971,28.4,21,28.7,18.9,40.5,79.2,39.5,38.7,40.7,31.5,43.8,34.1
"1972",1972,15.9,9,43.6,44.1,82.2,72.60001,53.8,63.7,41.5,10.1,50,13.2
"1973",1973,23.1,37.7,20.7,52.1,43.9,29.9,81.10001,28,62.3,42.9,78.1,46.3
"1974",1974,51.2,33.1,19.7,4.799999,23.7,44.8,84.70001,41.5,51.7,80.4,47.9,96.3
"1975",1975,46.6,11.6,41.1,51.5,41.6,15,64.7,26,61,36.2,30.5,29.3
"1976",1976,80.2,11.7,19,20.5,52.1,15.2,42.7,23.3,45.2,52.9,38.7,32.9
"1977",1977,47,46.2,42.1,67.4,20.2,39.3,70.1,62.2,29.8,27.2,74.89999,35.9
"1978",1978,51.3,22.7,60.9,13.9,18.6,64.9,50.40001,62.8,110.9,36.4,29,69
"1979",1979,35.7,26,58.4,37.8,53.2,33.4,63.7,74.6,36.2,14,67.8,84.90001
"1980",1980,36.1,30.8,21.7,42.9,17.7,111.4,94,83.39999,47,75.09999,58.4,52.5
"1981",1981,56.5,36.8,86.2,13.8,58.9,75.7,73.1,63.7,36,85.9,63,40.6
"1982",1982,54.6,11.8,41.7,23.7,53.9,69.6,28.2,61.3,16.2,53.5,35.4,45.8
"1983",1983,64,30,60.5,83.3,90.3,37.7,7.000004,22.5,50.3,50.8,47.3,53.4
"1984",1984,80.3,28.8,15.7,19.6,48.4,112.9,49.8,33,61.10001,56.60001,41.9,33.9
"1985",1985,43.6,16.8,49.2,53.8,23.7,76.5,64.10001,61.9,54.4,13.3,50.9,87.9
"1986",1986,66,11.4,43.4,30.3,51.1,44.7,83.3,52.1,42.9,50.8,46,69.3
"1987",1987,40.6,29.7,24.8,41.6,48.9,92.09999,104.8,59.9,73.4,20.7,62.5,39.7
"1988",1988,78.2,67.70001,55.6,19.5,34.3,46.6,101.1,34.6,50.6,43.5,38.7,49.40001
"1989",1989,10.4,24.5,47.1,40.6,8.899998,42.3,71.5,106.1,16,47.5,28,57
"1990",1990,40.9,44.1,37.4,24.6,32.2,78.7,42.6,56.1,104.5,30,74.4,40.3
"1991",1991,33.9,29.4,18.8,37.7,34.8,129.6,48.5,61,47.2,29,52.8,53.8
"1992",1992,30.9,28.5,66.59999,44.5,25.5,4.100002,56.8,82.3,28.3,38.4,85.1,32.3
"1993",1993,70.39999,28.1,13.4,22,41,53.2,111.7,61.7,100.7,42.3,33.3,90.5
"1994",1994,79.2,20.1,82.1,45.2,45.3,56.2,10.4,92.5,92.2,36.7,42.1,76.1
"1995",1995,73.9,56.2,45.6,38.9,54.2,66.1,46.10001,45.6,78.40001,20.6,26.4,25.9
"1996",1996,2.5,31.5,9.899998,17.4,75.6,32.5,64.4,47.3,44.9,34.8,53.4,20.9
"1997",1997,1.299999,54.8,26.4,29.5,76.3,71.1,70.3,36,27.8,54,32,42
"1998",1998,60.8,32,53.1,64.6,40.3,80.2,91.9,60.3,53.9,88.09999,47.7,49.6
"1999",1999,47.1,40.9,52,39.4,55.5,72.1,35.5,77.59999,32.2,33.7,25,98.2
"2000",2000,38.7,46.2,58.5,28.9,28.7,69.2,57.40001,48.3,68.7,30.8,38.8,41.1
"2001",2001,31.7,35.7,33.5,53,32.7,68.5,37.2,95.4,127.5,25.7,41.5,49.40001
"2002",2002,58.3,76,33,36.3,55.3,72.60001,87.5,79.59999,35.9,89.89999,56.8,17.9
"2003",2003,44.7,7.9,15.3,37.7,57.5,45,69.1,34.7,43.4,42.6,32.8,42.5
"2004",2004,60.5,43.7,32.9,29.9,26.4,72.60001,93.60001,70,49.2,45.9,48.1,39.7
"2005",2005,46.8,44.2,37.6,16.8,52.5,37.10001,84.4,44.8,30.9,34.9,35.9,54.3
"2006",2006,16.9,39.6,41.9,42.7,62.4,31.4,16.2,118,30.3,45.8,60.7,40
"2007",2007,88.6,51.8,41.7,6.200001,76.7,128.9,136.8,65.1,59,24.5,42.5,46.60001
"2008",2008,59.6,28.3,60.5,54.9,21.8,32.6,55.2,102.9,37,64.7,40.4,39.5
"2009",2009,20.3,38.4,45.8,8.5,54.6,63.2,78.20001,44,28.1,58.9,77.7,40.10001
"2010",2010,35.4,34.8,41.7,20,75,40.7,25.8,113.6,64.8,38.2,103.6,44.8
"2011",2011,34.2,33.4,22,13.8,43.6,66.9,124.4,119.4,48.7,37,5,78.3
"2012",2012,67.9,24.8,8.6,31.6,25.4,64.1,92.8,45.1,42.9,44.4,36,54.6
"2013",2013,62.8,30,18.3,20.9,79.5,68.1,34.40001,26.3,57.1,53.8,54.3,45.7
"2014",2014,42.1,28.7,18.3,42.3,64.1,53.4,64.2,81.3,49.40001,61.10001,18,91.8
"2015",2015,78.6,15.9,48.8,26.4,45.1,38.4,74.60001,46.8,51.7,36.3,87.1,44.8
"2016",2016,41.3,54.10001,28.1,36.1,24,70.7,68.7,38.7,18.6,48.1,38.8,44.6
"2017",2017,35.4,39.3,42.7,43.4,44.9,113.4,111.4,66.1,64.10001,89.8,62.8,47.8
"2018",2018,73.1,15.8,52.2,35.1,15.2,28,41.2,47,21.5,28.6,16,59.8
